                 -86.3006,32.3777                 -84.8754,38.1867                  -92.289,34.7466                 -86.7842,36.1658                 -76.4909,38.9788                 -121.494,38.5767                 -81.0332,34.0003                 -69.7817,44.3072                 -111.888,40.7775                 -90.1821,32.3038                 -93.6037,41.5911                 -77.4336,37.5389                 -112.097,33.4481                 -86.1626,39.7686                 -89.3844,43.0747                 -119.766,39.1639                 -81.6123,38.3362                 -74.7699,40.2206                 -84.2813,30.4381                  -104.82,41.1403                 -97.5033,35.4922                 -92.1729,38.5792                 -71.0637,42.3582                  -105.94,35.6822                 -75.5197,39.1573                 -76.8836,40.2644                 -84.3882,33.749                  -71.538,43.2069                 -82.9991,39.9613                  -134.42,58.3016                 -100.346,44.367                  -123.03,44.9385                 -112.018,46.5857                 -104.985,39.7392                 -72.6822,41.764                  -89.655,39.7984                 -73.7579,42.6528                 -91.1874,30.4571                 -78.6391,35.7804                 -93.1022,44.9551                 -84.5553,42.7336                 -72.5805,44.2624                 -97.7403,30.2747                 -157.857,21.3074                 -122.905,47.0358                 -96.6997,40.8081                   -116.2,43.6178                  -95.678,39.0482                 -100.783,46.8209                  -71.415,41.8309
                 -86.3006,32.3777                  -95.678,39.0482                 -90.1821,32.3038                 -111.888,40.7775                  -123.03,44.9385                 -81.0332,34.0003                 -97.7403,30.2747                 -72.5805,44.2624                 -93.1022,44.9551                 -84.5553,42.7336                 -78.6391,35.7804                 -91.1874,30.4571                 -73.7579,42.6528                  -89.655,39.7984                 -72.6822,41.764                 -104.985,39.7392                 -112.018,46.5857                   -116.2,43.6178                 -100.346,44.367                  -134.42,58.3016                 -82.9991,39.9613                  -71.538,43.2069                 -84.3882,33.749                 -76.8836,40.2644                 -75.5197,39.1573                 -100.783,46.8209                 -71.0637,42.3582                 -74.7699,40.2206                 -97.5033,35.4922                  -104.82,41.1403                 -84.2813,30.4381                 -92.1729,38.5792                 -81.6123,38.3362                 -119.766,39.1639                 -89.3844,43.0747                 -86.1626,39.7686                 -112.097,33.4481                 -77.4336,37.5389                 -93.6037,41.5911                 -69.7817,44.3072                 -96.6997,40.8081                 -122.905,47.0358                 -157.857,21.3074                 -121.494,38.5767                 -76.4909,38.9788                 -86.7842,36.1658                  -92.289,34.7466                 -84.8754,38.1867                  -105.94,35.6822                  -71.415,41.8309
                 -86.3006,32.3777                  -95.678,39.0482                 -90.1821,32.3038                 -111.888,40.7775                  -123.03,44.9385                 -81.0332,34.0003                 -97.7403,30.2747                 -72.5805,44.2624                 -93.1022,44.9551                 -84.5553,42.7336                 -78.6391,35.7804                 -91.1874,30.4571                 -73.7579,42.6528                  -89.655,39.7984                 -72.6822,41.764                 -104.985,39.7392                 -112.018,46.5857                   -116.2,43.6178                 -100.346,44.367                  -134.42,58.3016                 -82.9991,39.9613                  -71.538,43.2069                 -84.3882,33.749                 -76.8836,40.2644                 -75.5197,39.1573                 -100.783,46.8209                 -71.0637,42.3582                 -74.7699,40.2206                 -97.5033,35.4922                  -104.82,41.1403                 -84.2813,30.4381                 -92.1729,38.5792                 -81.6123,38.3362                 -119.766,39.1639                 -89.3844,43.0747                 -86.1626,39.7686                 -112.097,33.4481                 -77.4336,37.5389                 -93.6037,41.5911                 -69.7817,44.3072                 -96.6997,40.8081                 -122.905,47.0358                 -157.857,21.3074                 -121.494,38.5767                 -76.4909,38.9788                 -86.7842,36.1658                  -92.289,34.7466                 -84.8754,38.1867                  -105.94,35.6822                  -71.415,41.8309
                 -86.3006,32.3777                  -95.678,39.0482                 -90.1821,32.3038                 -111.888,40.7775                 -69.7817,44.3072                 -81.0332,34.0003                 -97.7403,30.2747                 -86.7842,36.1658                 -84.5553,42.7336                 -93.1022,44.9551                 -78.6391,35.7804                 -91.1874,30.4571                 -73.7579,42.6528                  -89.655,39.7984                 -72.6822,41.764                 -104.985,39.7392                 -112.018,46.5857                  -123.03,44.9385                 -100.346,44.367                  -134.42,58.3016                 -82.9991,39.9613                  -71.538,43.2069                 -84.3882,33.749                 -76.8836,40.2644                 -75.5197,39.1573                  -105.94,35.6822                 -71.0637,42.3582                 -74.7699,40.2206                 -97.5033,35.4922                  -104.82,41.1403                 -84.2813,30.4381                 -92.1729,38.5792                 -81.6123,38.3362                 -119.766,39.1639                 -89.3844,43.0747                 -86.1626,39.7686                 -112.097,33.4481                 -77.4336,37.5389                 -93.6037,41.5911                   -116.2,43.6178                 -96.6997,40.8081                 -122.905,47.0358                 -157.857,21.3074                 -121.494,38.5767                 -76.4909,38.9788                 -72.5805,44.2624                  -92.289,34.7466                 -84.8754,38.1867                 -100.783,46.8209                  -71.415,41.8309
                 -86.3006,32.3777                 -84.3882,33.749                 -121.494,38.5767                 -86.1626,39.7686                 -157.857,21.3074                 -91.1874,30.4571                 -90.1821,32.3038                 -97.5033,35.4922                 -93.1022,44.9551                 -76.8836,40.2644                 -69.7817,44.3072                 -100.783,46.8209                 -122.905,47.0358                 -81.0332,34.0003                  -95.678,39.0482                 -76.4909,38.9788                 -111.888,40.7775                 -112.018,46.5857                 -89.3844,43.0747                 -82.9991,39.9613                 -75.5197,39.1573                 -72.5805,44.2624                 -92.1729,38.5792                 -72.6822,41.764                 -73.7579,42.6528                 -104.985,39.7392                  -92.289,34.7466                 -96.6997,40.8081                 -84.5553,42.7336                 -78.6391,35.7804                 -97.7403,30.2747                  -105.94,35.6822                   -116.2,43.6178                 -100.346,44.367                  -71.538,43.2069                 -77.4336,37.5389                  -89.655,39.7984                 -71.0637,42.3582                 -84.8754,38.1867                 -93.6037,41.5911                 -86.7842,36.1658                 -81.6123,38.3362                  -71.415,41.8309                 -74.7699,40.2206                 -112.097,33.4481                 -119.766,39.1639                  -104.82,41.1403                  -134.42,58.3016                  -123.03,44.9385                 -84.2813,30.4381
                 -86.3006,32.3777                  -95.678,39.0482                 -90.1821,32.3038                 -111.888,40.7775                  -123.03,44.9385                 -76.4909,38.9788                 -121.494,38.5767                 -157.857,21.3074                 -122.905,47.0358                 -96.6997,40.8081                 -69.7817,44.3072                 -93.6037,41.5911                 -77.4336,37.5389                 -112.097,33.4481                 -86.1626,39.7686                 -89.3844,43.0747                 -119.766,39.1639                 -81.6123,38.3362                 -92.1729,38.5792                 -84.2813,30.4381                  -104.82,41.1403                 -97.5033,35.4922                 -74.7699,40.2206                 -71.0637,42.3582                  -105.94,35.6822                 -75.5197,39.1573                 -76.8836,40.2644                 -84.3882,33.749                  -71.538,43.2069                 -82.9991,39.9613                  -134.42,58.3016                 -100.346,44.367                   -116.2,43.6178                 -112.018,46.5857                 -104.985,39.7392                 -72.6822,41.764                  -89.655,39.7984                 -73.7579,42.6528                 -91.1874,30.4571                 -78.6391,35.7804                 -84.5553,42.7336                 -93.1022,44.9551                 -72.5805,44.2624                 -97.7403,30.2747                 -81.0332,34.0003                 -86.7842,36.1658                  -92.289,34.7466                 -84.8754,38.1867                 -100.783,46.8209                  -71.415,41.8309
                 -86.3006,32.3777                  -95.678,39.0482                 -90.1821,32.3038                 -111.888,40.7775                  -123.03,44.9385                 -81.0332,34.0003                 -97.7403,30.2747                 -72.5805,44.2624                 -93.1022,44.9551                 -84.5553,42.7336                 -78.6391,35.7804                 -91.1874,30.4571                 -73.7579,42.6528                  -89.655,39.7984                 -72.6822,41.764                 -104.985,39.7392                 -112.018,46.5857                   -116.2,43.6178                 -100.346,44.367                  -134.42,58.3016                 -82.9991,39.9613                  -71.538,43.2069                 -84.3882,33.749                 -76.8836,40.2644                 -75.5197,39.1573                  -105.94,35.6822                 -71.0637,42.3582                 -74.7699,40.2206                 -97.5033,35.4922                  -104.82,41.1403                 -84.2813,30.4381                 -92.1729,38.5792                 -81.6123,38.3362                 -119.766,39.1639                 -89.3844,43.0747                 -86.1626,39.7686                 -112.097,33.4481                 -77.4336,37.5389                 -93.6037,41.5911                 -69.7817,44.3072                 -96.6997,40.8081                 -122.905,47.0358                 -157.857,21.3074                 -121.494,38.5767                 -76.4909,38.9788                 -86.7842,36.1658                  -92.289,34.7466                 -84.8754,38.1867                 -100.783,46.8209                  -71.415,41.8309
                 -86.3006,32.3777                  -95.678,39.0482                 -90.1821,32.3038                 -111.888,40.7775                  -123.03,44.9385                 -81.0332,34.0003                 -97.7403,30.2747                 -72.5805,44.2624                 -93.1022,44.9551                 -84.5553,42.7336                 -78.6391,35.7804                 -91.1874,30.4571                 -73.7579,42.6528                  -89.655,39.7984                 -72.6822,41.764                 -104.985,39.7392                 -112.018,46.5857                   -116.2,43.6178                 -100.346,44.367                  -134.42,58.3016                 -82.9991,39.9613                  -71.538,43.2069                 -84.3882,33.749                 -76.8836,40.2644                 -75.5197,39.1573                  -105.94,35.6822                 -71.0637,42.3582                 -74.7699,40.2206                 -97.5033,35.4922                  -104.82,41.1403                 -84.2813,30.4381                 -92.1729,38.5792                 -81.6123,38.3362                 -119.766,39.1639                 -89.3844,43.0747                 -86.1626,39.7686                 -112.097,33.4481                 -77.4336,37.5389                 -93.6037,41.5911                 -69.7817,44.3072                 -96.6997,40.8081                 -122.905,47.0358                 -157.857,21.3074                 -121.494,38.5767                 -76.4909,38.9788                 -86.7842,36.1658                  -92.289,34.7466                 -84.8754,38.1867                 -100.783,46.8209                  -71.415,41.8309
                 -86.3006,32.3777                  -95.678,39.0482                 -90.1821,32.3038                 -111.888,40.7775                 -69.7817,44.3072                 -81.0332,34.0003                 -97.7403,30.2747                 -72.5805,44.2624                 -84.8754,38.1867                  -92.289,34.7466                 -86.7842,36.1658                 -76.4909,38.9788                 -121.494,38.5767                 -157.857,21.3074                 -122.905,47.0358                 -96.6997,40.8081                  -123.03,44.9385                 -93.6037,41.5911                 -77.4336,37.5389                 -112.097,33.4481                 -86.1626,39.7686                 -89.3844,43.0747                 -119.766,39.1639                 -81.6123,38.3362                 -92.1729,38.5792                 -84.2813,30.4381                  -104.82,41.1403                 -97.5033,35.4922                 -74.7699,40.2206                 -71.0637,42.3582                  -105.94,35.6822                 -75.5197,39.1573                 -76.8836,40.2644                 -84.3882,33.749                  -71.538,43.2069                 -82.9991,39.9613                  -134.42,58.3016                 -100.346,44.367                   -116.2,43.6178                 -112.018,46.5857                 -104.985,39.7392                 -72.6822,41.764                  -89.655,39.7984                 -73.7579,42.6528                 -91.1874,30.4571                 -78.6391,35.7804                 -93.1022,44.9551                 -84.5553,42.7336                 -100.783,46.8209                  -71.415,41.8309
                 -86.3006,32.3777                 -93.6037,41.5911                 -69.7817,44.3072                 -96.6997,40.8081                 -122.905,47.0358                 -157.857,21.3074                 -121.494,38.5767                 -82.9991,39.9613                  -71.538,43.2069                 -84.3882,33.749                 -76.8836,40.2644                 -75.5197,39.1573                 -100.783,46.8209                 -71.0637,42.3582                 -74.7699,40.2206                 -97.5033,35.4922                  -104.82,41.1403                 -84.2813,30.4381                 -92.1729,38.5792                 -81.6123,38.3362                 -119.766,39.1639                 -84.5553,42.7336                 -78.6391,35.7804                 -91.1874,30.4571                 -73.7579,42.6528                  -89.655,39.7984                 -72.6822,41.764                 -111.888,40.7775                 -112.018,46.5857                   -116.2,43.6178                 -100.346,44.367                  -134.42,58.3016                 -76.4909,38.9788                  -95.678,39.0482                 -90.1821,32.3038                 -104.985,39.7392                 -86.7842,36.1658                  -92.289,34.7466                 -84.8754,38.1867                  -105.94,35.6822                  -71.415,41.8309                  -123.03,44.9385                 -81.0332,34.0003                 -97.7403,30.2747                 -72.5805,44.2624                 -93.1022,44.9551                 -89.3844,43.0747                 -86.1626,39.7686                 -112.097,33.4481                 -77.4336,37.5389
